Tipo de inmueble,Precio (admin_included),Estrato,Baños,Habitaciones,Parqueaderos,Area,Area Privada,Piso,Antiguedad,Precio_por_m2,Bedroom_Bath_Ratio,Size_Category_Small,Size_Category_Medium,Size_Category_Large,Size_Category_Huge,Cluster,Market_Segment
Apartamento,600000.0,3.0,1.0,1.0,0.0,12.0,12.0,0.0,más de 30 años,50000.0,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,800000.0,4.0,1.0,1.0,0.0,32.0,32.0,1.0,1 a 8 años,25000.0,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,1650000.0,4.0,1.0,1.0,0.0,20.0,22.0,0.0,más de 30 años,82500.0,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,1800000.0,4.0,2.0,1.0,1.0,60.0,50.45,2.0,1 a 8 años,30000.0,0.5,True,False,False,False,1,Budget Compact Properties
Apartamento,1350000.0,3.0,1.0,2.0,0.0,45.0,22.0,1.0,16 a 30 años,30000.0,2.0,True,False,False,False,1,Budget Compact Properties
Apartamento,1900000.0,4.0,0.0,1.0,1.0,34.0,34.0,5.0,1 a 8 años,55882.35294117647,2.0,True,False,False,False,1,Budget Compact Properties
Apartamento,700000.0,4.0,1.0,1.0,0.0,12.0,12.0,1.0,9 a 15 años,58333.333333333336,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,700000.0,4.0,1.0,1.0,0.0,15.0,15.0,0.0,16 a 30 años,46666.666666666664,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,470000.0,3.0,1.0,1.0,0.0,6.0,6.0,2.0,menor a 1 año,78333.33333333333,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,4800000.0,4.0,5.0,4.0,2.0,164.0,164.0,0.0,9 a 15 años,29268.29268292683,0.8,False,False,True,False,0,Premium Spacious Properties
Casa,4200000.0,4.0,3.0,1.0,0.0,240.0,240.0,0.0,16 a 30 años,17500.0,0.3333333333333333,False,False,True,False,1,Budget Compact Properties
Apartamento,1300000.0,4.0,2.0,1.0,0.0,40.0,22.0,1.0,más de 30 años,32500.0,0.5,True,False,False,False,1,Budget Compact Properties
Apartamento,1600000.0,3.0,1.0,2.0,0.0,40.0,40.0,3.0,menor a 1 año,40000.0,2.0,True,False,False,False,1,Budget Compact Properties
Apartamento,2100000.0,4.0,1.0,1.0,0.0,34.0,34.0,5.0,1 a 8 años,61764.705882352944,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,4500000.0,5.0,3.0,4.0,1.0,164.0,164.0,7.0,16 a 30 años,27439.024390243903,1.3333333333333333,False,False,True,False,1,Budget Compact Properties
Apartamento,2000001.0,3.0,1.0,2.0,1.0,66.0,66.0,0.0,16 a 30 años,30303.045454545456,2.0,False,True,False,False,1,Budget Compact Properties
Apartamento,1350000.0,4.0,1.0,1.0,0.0,24.0,22.0,7.0,1 a 8 años,56250.0,1.0,False,False,False,False,1,Budget Compact Properties
Casa,6500000.0,4.0,4.0,5.0,2.0,354.0,22.0,0.0,más de 30 años,18361.581920903955,1.25,False,False,True,False,0,Premium Spacious Properties
Casa,20000000.0,4.0,8.0,8.0,4.0,960.0,960.0,3.0,más de 30 años,20833.333333333332,1.0,False,False,False,True,0,Premium Spacious Properties
Apartamento,600000.0,4.0,1.0,1.0,0.0,20.0,20.0,2.0,16 a 30 años,30000.0,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,1700000.0,5.0,1.0,1.0,0.0,20.0,18.0,4.0,1 a 8 años,85000.0,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,600000.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,9 a 15 años,600000.0,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,2000000.0,5.0,1.0,1.0,1.0,35.0,35.0,0.0,1 a 8 años,57142.857142857145,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,2300000.0,4.0,1.0,3.0,1.0,72.0,70.0,0.0,16 a 30 años,31944.444444444445,3.0,False,True,False,False,1,Budget Compact Properties
Apartamento,600000.0,4.0,0.0,1.0,0.0,8.0,8.0,0.0,9 a 15 años,75000.0,2.0,False,False,False,False,1,Budget Compact Properties
Apartamento,2400000.0,4.0,2.0,2.0,0.0,62.0,62.0,2.0,9 a 15 años,38709.67741935484,1.0,False,True,False,False,1,Budget Compact Properties
Apartamento,650000.0,3.0,1.0,1.0,0.0,30.0,30.0,2.0,más de 30 años,21666.666666666668,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,1950000.0,4.0,1.0,1.0,0.0,21.0,21.0,3.0,más de 30 años,92857.14285714286,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,1600000.0,5.0,1.0,1.0,0.0,16.0,16.0,2.0,1 a 8 años,100000.0,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,630000.0,4.0,1.0,1.0,0.0,9.0,9.0,5.0,menor a 1 año,70000.0,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,3500000.0,4.0,3.0,4.0,1.0,112.0,112.0,0.0,más de 30 años,31250.0,1.3333333333333333,False,True,False,False,1,Budget Compact Properties
Apartamento,1134000.0,4.0,1.0,1.0,0.0,23.0,23.0,6.0,9 a 15 años,49304.34782608696,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,1600000.0,5.0,1.0,1.0,1.0,20.0,20.0,0.0,16 a 30 años,80000.0,1.0,False,False,False,False,1,Budget Compact Properties
