location,price,habs,baños,area,tipo_inmueble,link
"Quinta paredes, Bogotá","4,200,000",3.0,3.0,98.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/quinta-paredes/zona-occidental/bogota/pagina3/</apartamento-en-arriendo/191234755>"
"Quinta paredes, Bogotá","750,000",1.0,1.0,127.0,Habitación en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/quinta-paredes/zona-occidental/bogota/pagina3/</habitacion-en-arriendo/191235800>"
"Quinta paredes, Bogotá","2,300,000",1.0,1.0,19.0,Apartaestudio en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/quinta-paredes/zona-occidental/bogota/pagina3/</apartaestudio-en-arriendo/191287641>"
"Quinta paredes, Bogotá","2,000,000",1.0,1.0,30.0,Apartaestudio en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/quinta-paredes/zona-occidental/bogota/pagina3/</apartaestudio-en-arriendo/191996580>"
"Quinta paredes, Bogotá","3,300,000",2.0,2.0,60.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/quinta-paredes/zona-occidental/bogota/pagina3/</apartamento-en-arriendo/192025965>"
"Quinta paredes, Bogotá","2,500,000",4.0,2.0,77.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/quinta-paredes/zona-occidental/bogota/pagina3/</apartamento-en-arriendo/191193078>"
"Quinta paredes, Bogotá","750,000",1.0,1.0,24.0,Habitación en arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/quinta-paredes/zona-occidental/bogota/pagina3/</habitacion-en-arriendo/10174765>"
"Quinta paredes, Bogotá","2,400,000",2.0,2.0,80.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/quinta-paredes/zona-occidental/bogota/pagina3/</apartamento-en-arriendo/192024478>"
"Quinta paredes, Bogotá","3,600,000",4.0,3.0,144.0,"Apartamento en arriendo, Bogotá - Salitre Oriental","https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/quinta-paredes/zona-occidental/bogota/pagina3/</apartamento-en-arriendo-bogota-salitre-oriental/7817199>"
"Quinta paredes, Bogotá","700,000",1.0,1.0,15.0,Apartaestudio en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/quinta-paredes/zona-occidental/bogota/pagina3/</apartaestudio-en-arriendo/191890295>"
